Id,PID,MS SubClass,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold
109,533352170,60,13517,6,8,1976,2005,725,754,0,1479,2,1,3,1,6,0,0,44,0,0,0,0,0,3,2010
544,531379050,60,11492,7,5,1996,1997,913,1209,0,2122,2,1,4,1,8,1,0,74,0,0,0,0,0,4,2009
153,535304180,20,7922,5,7,1953,2007,1057,0,0,1057,1,0,3,1,5,0,0,52,0,0,0,0,0,1,2010
318,916386060,60,9802,5,5,2006,2007,744,700,0,1444,2,1,3,1,7,0,100,0,0,0,0,0,0,4,2010
255,906425045,50,14235,6,8,1900,1993,831,614,0,1445,2,0,3,1,6,0,0,59,0,0,0,0,0,3,2010
138,535126040,20,16492,6,6,1966,2002,1888,0,0,1888,2,1,2,1,6,1,0,0,0,0,0,0,0,6,2010
2827,908186070,180,3675,6,5,2005,2006,1072,0,0,1072,2,0,2,1,5,0,0,44,0,0,0,0,0,6,2006
145,535154050,20,12160,5,5,1959,1959,1188,0,0,1188,1,0,3,1,6,0,0,0,0,0,0,0,0,5,2010
1942,535353130,20,15783,5,5,1952,1952,924,0,0,924,1,0,2,1,6,0,0,324,0,0,0,0,400,6,2007
1956,535426130,60,11606,5,5,1969,1969,1040,1040,0,2080,1,2,5,1,9,2,335,0,0,0,0,0,0,9,2007
1044,527451290,160,1680,6,5,1971,1971,483,504,0,987,1,1,2,1,4,0,0,0,0,0,0,0,0,7,2008
2752,906380150,20,7488,7,5,2005,2005,1208,0,0,1208,2,0,2,1,6,0,105,58,0,0,0,0,0,2,2006
807,906226060,70,26400,5,7,1880,2007,1288,728,0,2016,1,0,4,1,7,1,0,0,0,0,0,0,0,6,2009
1177,533236070,160,2645,8,5,1999,2000,962,645,0,1607,2,1,3,1,7,0,169,0,0,0,0,0,0,12,2008
1480,907418040,20,9627,7,5,2007,2007,1361,0,0,1361,2,0,3,1,6,0,0,50,0,0,0,0,0,6,2008
324,923202105,20,10114,5,5,2004,2005,1430,0,0,1430,2,0,3,1,7,0,0,0,0,0,0,0,0,3,2010
1311,902301140,70,4571,5,5,1916,1950,624,720,0,1344,1,0,4,1,7,0,0,0,96,0,0,0,0,5,2008
