Lot Frontage,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Bsmt Full Bath,Bsmt Half Bath,Garage Yr Blt,Garage Cars,Garage Area
0.0,289.0,533.0,0.0,192.0,725.0,0.0,0.0,1976.0,2.0,475.0
43.0,132.0,637.0,0.0,276.0,913.0,1.0,0.0,1997.0,2.0,559.0
68.0,0.0,731.0,0.0,326.0,1057.0,1.0,0.0,1953.0,1.0,246.0
73.0,0.0,0.0,0.0,384.0,384.0,0.0,0.0,2007.0,2.0,400.0
82.0,0.0,0.0,0.0,676.0,676.0,0.0,0.0,1957.0,2.0,484.0
137.0,0.0,247.0,713.0,557.0,1517.0,0.0,0.0,1966.0,2.0,578.0
35.0,82.0,547.0,0.0,0.0,547.0,1.0,0.0,2005.0,2.0,525.0
0.0,180.0,1000.0,0.0,188.0,1188.0,1.0,0.0,1959.0,2.0,531.0
0.0,0.0,292.0,0.0,632.0,924.0,0.0,0.0,1952.0,1.0,420.0
70.0,192.0,650.0,0.0,390.0,1040.0,0.0,1.0,1969.0,2.0,504.0
21.0,232.0,387.0,0.0,96.0,483.0,0.0,0.0,1971.0,1.0,264.0
64.0,0.0,393.0,0.0,815.0,1208.0,0.0,0.0,2005.0,2.0,632.0
120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,2.0,576.0
24.0,456.0,813.0,0.0,147.0,960.0,1.0,0.0,2000.0,2.0,480.0
74.0,0.0,24.0,0.0,1327.0,1351.0,0.0,0.0,2007.0,2.0,610.0
93.0,0.0,0.0,0.0,1430.0,1430.0,0.0,0.0,2004.0,2.0,624.0
34.0,0.0,0.0,0.0,624.0,624.0,0.0,0.0,1916.0,3.0,513.0
80.0,0.0,651.0,0.0,470.0,1121.0,1.0,0.0,1963.0,2.0,480.0
71.0,148.0,0.0,0.0,660.0,660.0,0.0,0.0,1977.0,2.0,528.0
72.0,0.0,24.0,0.0,732.0,756.0,0.0,0.0,2009.0,2.0,614.0
109.0,0.0,492.0,0.0,402.0,894.0,0.0,0.0,1968.0,2.0,450.0
40.0,0.0,1158.0,0.0,343.0,1501.0,1.0,0.0,2000.0,2.0,499.0
103.0,0.0,0.0,0.0,1209.0,1209.0,0.0,0.0,2005.0,2.0,575.0
0.0,0.0,935.0,0.0,233.0,1168.0,1.0,0.0,1992.0,2.0,420.0
100.0,0.0,1056.0,0.0,0.0,1056.0,1.0,0.0,1955.0,2.0,572.0
92.0,3.0,1312.0,0.0,141.0,1453.0,1.0,0.0,1961.0,2.0,530.0
65.0,0.0,553.0,117.0,224.0,894.0,1.0,0.0,1973.0,1.0,336.0
0.0,0.0,606.0,0.0,336.0,942.0,0.0,0.0,1937.0,1.0,240.0
75.0,0.0,0.0,0.0,957.0,957.0,0.0,0.0,0.0,0.0,0.0
60.0,0.0,0.0,0.0,672.0,672.0,0.0,0.0,2003.0,2.0,576.0
80.0,0.0,1104.0,0.0,1420.0,2524.0,1.0,0.0,1981.0,2.0,542.0
0.0,0.0,0.0,0.0,792.0,792.0,0.0,0.0,1931.0,2.0,400.0
