Id,Lot Area,Overall Qual,Overall Cond,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Year Built Year Remod/Add
109,13517,6,8,725,754,0,1479,2,1,3,1,6,0,0,44,0,0,0,0,0,3961880
544,11492,7,5,913,1209,0,2122,2,1,4,1,8,1,0,74,0,0,0,0,0,3986012
153,7922,5,7,1057,0,0,1057,1,0,3,1,5,0,0,52,0,0,0,0,0,3919671
318,9802,5,5,744,700,0,1444,2,1,3,1,7,0,100,0,0,0,0,0,0,4026042
255,14235,6,8,831,614,0,1445,2,0,3,1,6,0,0,59,0,0,0,0,0,3786700
138,16492,6,6,1888,0,0,1888,2,1,2,1,6,1,0,0,0,0,0,0,0,3935932
2827,3675,6,5,1072,0,0,1072,2,0,2,1,5,0,0,44,0,0,0,0,0,4022030
145,12160,5,5,1188,0,0,1188,1,0,3,1,6,0,0,0,0,0,0,0,0,3837681
1942,15783,5,5,924,0,0,924,1,0,2,1,6,0,0,324,0,0,0,0,400,3810304
1956,11606,5,5,1040,1040,0,2080,1,2,5,1,9,2,335,0,0,0,0,0,0,3876961
1044,1680,6,5,483,504,0,987,1,1,2,1,4,0,0,0,0,0,0,0,0,3884841
2752,7488,7,5,1208,0,0,1208,2,0,2,1,6,0,105,58,0,0,0,0,0,4020025
807,26400,5,7,1288,728,0,2016,1,0,4,1,7,1,0,0,0,0,0,0,0,3773160
1177,2645,8,5,962,645,0,1607,2,1,3,1,7,0,169,0,0,0,0,0,0,3998000
1480,9627,7,5,1361,0,0,1361,2,0,3,1,6,0,0,50,0,0,0,0,0,4028049
324,10114,5,5,1430,0,0,1430,2,0,3,1,7,0,0,0,0,0,0,0,0,4018020
1311,4571,5,5,624,720,0,1344,1,0,4,1,7,0,0,0,96,0,0,0,0,3736200
770,8816,5,6,1121,0,0,1121,1,0,3,1,5,0,0,80,0,0,0,0,0,3853369
2063,8197,6,5,1285,0,0,1285,1,1,3,1,7,1,138,0,0,0,0,0,0,3908529
69,8640,7,5,764,783,0,1547,2,1,3,1,7,0,169,45,0,0,0,0,0,4036081
2062,8724,5,5,894,0,0,894,1,0,3,1,5,1,0,0,0,0,0,0,0,3873024
351,5664,8,5,1659,0,0,1659,2,0,2,1,5,1,212,59,0,0,0,0,0,4000000
2393,12867,8,5,1209,1044,0,2253,2,1,3,1,8,1,243,142,0,0,0,0,0,4022030
12,7980,6,7,1187,0,0,1187,2,0,3,1,6,0,483,21,0,0,0,0,500,3997944
2339,34650,5,5,1056,0,0,1056,1,0,3,1,5,0,264,0,0,0,0,0,0,3822025
624,10573,6,6,1453,0,0,1453,2,0,3,1,6,1,0,49,0,0,288,0,0,3845521
86,8450,5,8,894,0,0,894,1,0,3,1,5,1,416,144,0,0,0,0,0,3947685
1534,11700,5,6,1265,673,0,1938,2,0,4,1,7,1,0,40,0,0,0,0,0,3864315
2243,8250,5,6,1034,957,0,1991,2,0,4,2,9,0,0,0,133,0,0,0,0,3801370
1957,8064,5,7,672,252,0,924,1,0,3,1,6,1,0,0,0,0,0,0,2000,3909694
380,9600,8,5,2524,0,0,2524,2,1,4,1,9,1,474,120,0,0,0,0,0,3924361
2860,11435,8,7,792,725,0,1517,1,0,3,1,7,2,0,0,0,0,0,0,0,3761550
2517,9549,8,5,1494,0,0,1494,1,1,2,1,6,1,0,30,0,0,216,0,0,3982020
1933,10950,6,6,948,0,0,948,1,0,2,1,5,0,0,48,0,0,0,0,0,3810304
820,10637,8,5,1718,0,0,1718,2,0,3,1,7,1,208,44,0,0,0,0,0,4030056
675,9000,6,6,1142,0,0,1142,1,0,2,1,5,1,0,28,64,0,0,0,0,3833764
2910,2665,5,6,925,550,0,1475,2,0,4,1,6,1,104,26,0,0,0,0,0,3908529
21,11751,6,6,1844,0,0,1844,2,0,3,1,7,1,0,122,0,0,0,0,0,3908529
1873,9600,7,6,1242,0,0,1242,1,1,3,1,6,1,0,0,0,0,0,0,0,3892729
2125,8428,5,7,990,0,0,990,1,0,3,1,5,0,256,0,0,0,0,0,0,3976036
1489,9937,5,6,1256,0,0,1256,1,1,3,1,6,0,736,68,0,0,0,0,0,3861225
2383,13891,10,5,2076,0,0,2076,2,1,2,1,7,1,216,229,0,0,0,0,0,4024036
983,9101,5,6,1110,0,0,1110,1,0,1,1,4,1,303,30,0,0,0,0,0,3912484
1325,12150,5,5,1050,745,0,1795,2,0,4,1,7,0,0,0,0,0,0,0,0,3818116
1378,11200,5,5,1040,0,0,1040,1,0,3,1,5,0,0,0,0,0,0,0,0,3861225
1537,9670,8,6,983,890,0,1873,1,1,4,1,9,2,0,0,207,0,0,0,0,3773250
905,10998,5,5,984,620,0,1604,2,0,3,1,6,0,0,68,0,0,0,0,0,3804360
1532,7200,7,6,851,651,0,1502,1,1,3,1,6,1,0,0,112,0,0,0,0,3862000
132,9920,5,5,1063,0,0,1063,1,0,3,1,6,0,0,0,164,0,0,0,0,3818116
1078,2448,7,5,764,862,0,1626,2,1,2,1,6,0,0,27,0,0,0,0,0,4014012
2511,2998,6,5,768,756,0,1524,2,1,2,1,4,0,0,32,0,0,0,0,0,4000000
912,7804,4,3,1328,653,0,1981,2,0,4,1,7,2,431,44,0,0,0,0,0,3759600
2351,16692,7,5,1392,1392,0,2784,3,1,5,1,12,2,0,112,0,0,440,519,2000,3912484
330,1476,4,7,546,546,0,1092,1,1,3,1,5,0,200,26,0,0,0,0,0,3880900
2586,10170,6,6,1575,0,0,1575,1,1,2,1,5,1,0,0,0,0,0,0,0,3806401
224,9364,6,7,663,689,0,1352,1,1,4,1,7,0,379,36,0,0,0,0,0,3876961
98,2544,7,5,600,600,0,1200,2,1,2,1,4,0,0,172,0,0,0,0,0,4018020
2565,9888,5,6,936,0,0,936,1,0,2,1,5,0,0,0,160,0,0,0,0,3859150
1934,7942,6,7,1040,0,0,1040,1,0,3,1,6,0,0,0,0,0,0,0,0,3814209
997,15038,6,5,916,720,0,1636,2,1,3,1,7,1,168,84,0,0,0,0,0,3984016
64,11764,8,7,1164,1106,0,2270,2,1,4,1,9,1,132,57,0,0,0,0,0,4011993
1799,9000,8,5,1184,1426,0,2610,2,1,4,1,11,1,208,364,0,0,0,0,0,4028049
230,20062,7,7,1483,0,0,1483,1,1,1,1,4,2,496,0,0,0,0,0,0,3955977
1295,7308,5,5,960,780,0,1740,1,0,2,1,6,1,0,0,236,0,0,0,0,3744000
638,8750,5,5,1382,0,0,1382,1,0,3,1,6,0,280,0,0,0,0,0,0,3822025
2278,8402,5,5,1120,0,0,1120,1,0,3,1,6,0,0,30,0,0,0,0,0,4028049
2202,4000,7,8,567,531,0,1098,1,0,2,1,5,1,0,0,0,0,0,0,0,3850350
2833,3363,7,5,976,732,0,1708,2,0,3,1,7,0,0,40,0,0,0,0,0,4016016
1707,13615,9,5,1802,0,0,1802,2,1,3,1,7,1,158,105,0,0,0,0,0,4024036
2428,3013,7,5,1506,0,0,1506,2,0,2,1,6,1,142,20,0,0,0,0,0,4020025
242,17485,7,5,1508,0,0,1508,1,0,1,1,5,2,0,0,0,0,0,0,0,4038090
1564,23730,7,5,2032,0,0,2032,3,0,3,1,7,0,0,46,192,0,0,0,0,3986012
2613,8910,6,6,1194,0,0,1194,1,0,3,1,6,1,0,0,192,0,0,0,0,3837681
2832,2522,7,5,970,739,0,1709,2,0,3,1,7,0,0,40,0,0,0,0,0,4016016
2459,8688,7,5,1616,0,0,1616,2,0,3,1,7,0,208,59,0,0,0,0,0,4020025
1360,6291,6,6,768,0,0,768,1,0,1,1,4,0,0,0,84,0,0,0,0,3763500
2723,17529,5,5,872,0,0,872,1,0,2,1,5,1,0,0,116,0,0,0,0,3751800
1350,6324,4,6,520,0,0,520,1,0,1,1,4,0,49,0,87,0,0,0,0,3757650
136,11600,5,5,1105,1169,0,2274,2,0,5,2,12,0,0,0,0,0,0,0,0,3841600
2235,7288,5,7,936,665,0,1601,2,0,3,1,6,0,0,0,0,176,0,0,0,3855775
1993,4571,5,7,616,616,0,1232,1,0,3,1,6,0,280,0,143,0,0,0,0,3724500
367,17423,9,5,2234,0,0,2234,2,0,1,1,9,1,0,60,0,0,0,0,0,4034072
1309,12665,5,8,876,540,0,1416,1,1,4,1,7,1,418,0,194,0,0,0,0,3734250
402,9000,4,7,864,0,0,864,1,0,3,1,5,0,200,0,0,0,0,0,0,3953826
1592,4500,6,5,1189,0,0,1189,2,0,2,1,4,0,0,122,0,0,0,0,0,3988009
2409,6373,9,5,1666,0,0,1666,2,0,2,1,6,1,228,75,0,0,0,0,0,4024036
539,10083,7,5,1200,0,0,1200,2,0,2,1,5,0,0,41,0,0,0,0,0,4012009
1940,13300,5,7,928,0,0,928,1,0,2,1,4,0,261,0,156,0,0,0,0,3912000
588,9600,5,5,1336,0,0,1336,2,0,3,1,6,1,312,11,0,0,0,0,650,3876961
96,3215,7,5,600,600,0,1200,2,1,2,1,4,0,0,172,0,0,0,0,0,4016016
1187,11104,6,6,1427,0,0,1427,2,0,4,1,7,0,0,0,0,0,216,0,0,3876961
2154,15295,7,5,1212,780,0,1992,2,1,3,1,7,2,225,32,0,0,0,0,0,3995992
550,9109,7,5,754,786,0,1540,2,1,3,1,6,0,140,32,0,0,0,0,0,3976036
811,7018,5,5,1535,0,0,1535,2,0,4,2,8,0,0,0,0,0,0,0,0,3916441
124,14112,5,7,1152,0,0,1152,1,0,3,1,6,1,227,0,0,0,0,0,0,3857296
1836,3523,8,5,1151,0,0,1151,2,0,2,1,5,0,0,60,0,0,0,0,0,4026042
779,15312,6,5,1138,0,0,1138,1,0,3,1,6,1,0,0,0,0,140,0,0,3841600
1886,7450,5,5,1074,0,0,1074,1,0,2,1,6,1,0,72,0,0,0,0,0,3825936
1724,7313,9,5,1561,0,0,1561,2,0,2,1,6,1,203,47,0,0,0,0,0,4020025
2450,10019,8,5,1358,1368,0,2726,2,1,4,1,9,1,307,169,168,0,0,0,0,3980025
1013,15401,9,5,1884,0,0,1884,2,0,2,1,7,1,214,76,0,0,0,0,0,4016016
2084,9098,4,7,605,0,0,605,1,0,2,1,5,0,0,0,144,0,0,0,0,3843840
1184,16280,8,9,1671,0,0,1671,3,0,3,1,6,1,280,90,0,0,0,0,0,3965832
728,9392,3,3,797,0,0,797,1,0,2,1,5,0,0,36,94,0,0,0,0,3705000
950,12209,6,5,804,1157,0,1961,2,1,3,1,7,1,125,192,0,0,0,0,0,4006002
2524,13110,5,6,1193,0,0,1193,2,0,2,1,6,0,140,153,0,0,0,0,0,3888784
2513,2651,7,5,673,709,0,1382,2,1,3,1,6,0,153,50,0,0,0,0,0,4000000
2028,8520,6,7,1664,862,0,2526,2,0,5,1,10,1,88,15,0,0,0,0,0,3736200
2309,39384,6,6,1390,0,0,1390,1,1,1,1,4,2,0,189,0,0,0,0,0,3829849
51,2628,7,5,764,862,0,1626,2,1,2,1,6,0,0,27,0,0,0,0,0,4012009
699,6406,5,6,868,690,0,1558,1,1,3,1,7,1,0,36,0,0,182,0,0,3781050
1881,12342,5,5,1422,0,0,1422,1,0,3,1,6,1,0,0,36,0,0,0,600,3876880
1345,6240,5,7,1128,445,0,1573,2,0,3,1,8,1,0,0,0,0,0,0,0,3844560
166,10000,6,6,1116,0,0,1116,1,1,3,1,5,0,0,0,0,0,385,0,0,3849444
781,9000,2,2,660,0,0,660,1,0,2,1,5,0,0,0,100,0,0,0,0,3796650
379,11088,6,5,1707,0,0,1707,2,0,3,1,7,1,0,0,0,0,0,0,0,3952044
2818,17755,5,4,1466,0,0,1466,1,1,3,1,6,2,0,140,0,0,100,0,0,3837681
1168,4765,9,5,1638,0,0,1638,2,0,2,1,5,1,230,68,0,0,0,0,0,4000000
1396,10532,5,3,1721,0,0,1721,2,0,3,1,7,2,50,84,0,0,0,0,0,3841600
838,15426,6,5,928,836,0,1764,2,1,3,1,7,0,276,99,0,0,0,0,0,3988009
1492,13907,5,6,996,0,0,996,1,0,3,1,6,1,144,0,0,0,0,0,0,3819860
637,8750,5,5,1202,0,0,1202,1,0,3,1,6,0,0,35,120,0,0,0,0,3825936
1826,9945,5,5,988,0,0,988,1,0,3,1,5,0,0,0,0,0,0,0,0,3845521
173,8960,5,6,1028,0,0,1028,1,0,2,1,5,1,0,0,130,0,0,0,0,3757650
715,3500,5,7,720,564,0,1284,1,1,2,1,5,0,0,35,0,0,0,0,0,3796650
1183,24572,9,3,1599,1345,0,2944,2,2,3,1,9,1,140,70,16,0,0,0,0,3908529
2433,9056,8,5,707,707,0,1414,2,1,3,1,6,1,100,35,0,0,0,0,0,4016016
2866,12320,7,7,959,650,0,1609,1,1,3,1,8,2,0,0,0,0,104,0,0,3844680
