Overall Qual,Overall Cond,1st Flr SF,2nd Flr SF,Gr Liv Area,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Misc Val,Year Built Year Remod/Add,Mas Vnr Area,Total Bsmt SF,Bsmt Full Bath,Bsmt Half Bath,Garage Yr Blt,Garage Cars,Garage Area
6,8,725,754,1479,2,1,3,1,6,0,0,3961880,289.0,725.0,0.0,0.0,1976.0,2.0,475.0
7,5,913,1209,2122,2,1,4,1,8,1,0,3986012,132.0,913.0,1.0,0.0,1997.0,2.0,559.0
5,7,1057,0,1057,1,0,3,1,5,0,0,3919671,0.0,1057.0,1.0,0.0,1953.0,1.0,246.0
5,5,744,700,1444,2,1,3,1,7,0,0,4026042,0.0,384.0,0.0,0.0,2007.0,2.0,400.0
6,8,831,614,1445,2,0,3,1,6,0,0,3786700,0.0,676.0,0.0,0.0,1957.0,2.0,484.0
6,6,1888,0,1888,2,1,2,1,6,1,0,3935932,0.0,1517.0,0.0,0.0,1966.0,2.0,578.0
6,5,1072,0,1072,2,0,2,1,5,0,0,4022030,82.0,547.0,1.0,0.0,2005.0,2.0,525.0
5,5,1188,0,1188,1,0,3,1,6,0,0,3837681,180.0,1188.0,1.0,0.0,1959.0,2.0,531.0
5,5,924,0,924,1,0,2,1,6,0,400,3810304,0.0,924.0,0.0,0.0,1952.0,1.0,420.0
5,5,1040,1040,2080,1,2,5,1,9,2,0,3876961,192.0,1040.0,0.0,1.0,1969.0,2.0,504.0
6,5,483,504,987,1,1,2,1,4,0,0,3884841,232.0,483.0,0.0,0.0,1971.0,1.0,264.0
7,5,1208,0,1208,2,0,2,1,6,0,0,4020025,0.0,1208.0,0.0,0.0,2005.0,2.0,632.0
5,7,1288,728,2016,1,0,4,1,7,1,0,3773160,0.0,0.0,0.0,0.0,1900.0,2.0,576.0
8,5,962,645,1607,2,1,3,1,7,0,0,3998000,456.0,960.0,1.0,0.0,2000.0,2.0,480.0
7,5,1361,0,1361,2,0,3,1,6,0,0,4028049,0.0,1351.0,0.0,0.0,2007.0,2.0,610.0
