Overall Qual,Overall Cond,1st Flr SF,2nd Flr SF,Gr Liv Area,Half Bath,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Misc Val,Year Built Year Remod/Add,Mas Vnr Area,Total Bsmt SF,Bsmt Full Bath,Garage Area,bed_full_bath
6,8,725,754,1479,1,1,6,0,0,3961880,289.0,725.0,0.0,475.0,6.0
7,5,913,1209,2122,1,1,8,1,0,3986012,132.0,913.0,1.0,559.0,8.0
5,7,1057,0,1057,0,1,5,0,0,3919671,0.0,1057.0,1.0,246.0,3.0
5,5,744,700,1444,1,1,7,0,0,4026042,0.0,384.0,0.0,400.0,6.0
6,8,831,614,1445,0,1,6,0,0,3786700,0.0,676.0,0.0,484.0,6.0
6,6,1888,0,1888,1,1,6,1,0,3935932,0.0,1517.0,0.0,578.0,4.0
6,5,1072,0,1072,0,1,5,0,0,4022030,82.0,547.0,1.0,525.0,4.0
5,5,1188,0,1188,0,1,6,0,0,3837681,180.0,1188.0,1.0,531.0,3.0
5,5,924,0,924,0,1,6,0,400,3810304,0.0,924.0,0.0,420.0,2.0
5,5,1040,1040,2080,2,1,9,2,0,3876961,192.0,1040.0,0.0,504.0,5.0
6,5,483,504,987,1,1,4,0,0,3884841,232.0,483.0,0.0,264.0,2.0
7,5,1208,0,1208,0,1,6,0,0,4020025,0.0,1208.0,0.0,632.0,4.0
5,7,1288,728,2016,0,1,7,1,0,3773160,0.0,0.0,0.0,576.0,4.0
8,5,962,645,1607,1,1,7,0,0,3998000,456.0,960.0,1.0,480.0,6.0
7,5,1361,0,1361,0,1,6,0,0,4028049,0.0,1351.0,0.0,610.0,6.0
5,5,1430,0,1430,0,1,7,0,0,4018020,0.0,1430.0,0.0,624.0,6.0
5,5,624,720,1344,0,1,7,0,0,3736200,0.0,624.0,0.0,513.0,4.0
5,6,1121,0,1121,0,1,5,0,0,3853369,0.0,1121.0,1.0,480.0,3.0
6,5,1285,0,1285,1,1,7,1,0,3908529,148.0,660.0,0.0,528.0,3.0
7,5,764,783,1547,1,1,7,0,0,4036081,0.0,756.0,0.0,614.0,6.0
5,5,894,0,894,0,1,5,1,0,3873024,0.0,894.0,0.0,450.0,3.0
8,5,1659,0,1659,0,1,5,1,0,4000000,0.0,1501.0,1.0,499.0,4.0
8,5,1209,1044,2253,1,1,8,1,0,4022030,0.0,1209.0,0.0,575.0,6.0
6,7,1187,0,1187,0,1,6,0,500,3997944,0.0,1168.0,1.0,420.0,6.0
5,5,1056,0,1056,0,1,5,0,0,3822025,0.0,1056.0,1.0,572.0,3.0
6,6,1453,0,1453,0,1,6,1,0,3845521,3.0,1453.0,1.0,530.0,6.0
5,8,894,0,894,0,1,5,1,0,3947685,0.0,894.0,1.0,336.0,3.0
5,6,1265,673,1938,0,1,7,1,0,3864315,0.0,942.0,0.0,240.0,8.0
5,6,1034,957,1991,0,2,9,0,0,3801370,0.0,957.0,0.0,0.0,8.0
5,7,672,252,924,0,1,6,1,2000,3909694,0.0,672.0,0.0,576.0,3.0
8,5,2524,0,2524,1,1,9,1,0,3924361,0.0,2524.0,1.0,542.0,8.0
8,7,792,725,1517,0,1,7,2,0,3761550,0.0,792.0,0.0,400.0,3.0
8,5,1494,0,1494,1,1,6,1,0,3982020,0.0,1494.0,1.0,481.0,2.0
6,6,948,0,948,0,1,5,0,0,3810304,0.0,948.0,0.0,410.0,2.0
8,5,1718,0,1718,0,1,7,1,0,4030056,336.0,1705.0,1.0,826.0,6.0
6,6,1142,0,1142,0,1,5,1,0,3833764,82.0,160.0,0.0,384.0,2.0
5,6,925,550,1475,0,1,6,1,0,3908529,0.0,757.0,0.0,336.0,8.0
6,6,1844,0,1844,0,1,7,1,0,3908529,480.0,1844.0,0.0,546.0,6.0
7,6,1242,0,1242,1,1,6,1,0,3892729,320.0,1242.0,0.0,528.0,3.0
5,7,990,0,990,0,1,5,0,0,3976036,0.0,990.0,1.0,384.0,3.0
5,6,1256,0,1256,1,1,6,0,0,3861225,0.0,1256.0,1.0,276.0,3.0
10,5,2076,0,2076,1,1,7,1,0,4024036,0.0,2076.0,1.0,850.0,4.0
5,6,1110,0,1110,0,1,4,1,0,3912484,104.0,1097.0,1.0,602.0,1.0
5,5,1050,745,1795,0,1,7,0,0,3818116,335.0,1050.0,0.0,352.0,8.0
5,5,1040,0,1040,0,1,5,0,0,3861225,0.0,1040.0,1.0,384.0,3.0
8,6,983,890,1873,1,1,9,2,0,3773250,40.0,608.0,0.0,786.0,4.0
5,5,984,620,1604,0,1,6,0,0,3804360,0.0,984.0,0.0,660.0,6.0
7,6,851,651,1502,1,1,6,1,0,3862000,0.0,776.0,0.0,270.0,3.0
5,5,1063,0,1063,0,1,6,0,0,3818116,110.0,1056.0,1.0,280.0,3.0
7,5,764,862,1626,1,1,6,0,0,4014012,106.0,764.0,0.0,474.0,4.0
6,5,768,756,1524,1,1,4,0,0,4000000,513.0,756.0,0.0,440.0,4.0
4,3,1328,653,1981,0,1,7,2,0,3759600,0.0,1122.0,1.0,576.0,8.0
7,5,1392,1392,2784,1,1,12,2,2000,3912484,184.0,1392.0,1.0,564.0,15.0
4,7,546,546,1092,1,1,5,0,0,3880900,0.0,546.0,0.0,0.0,3.0
6,6,1575,0,1575,1,1,5,1,0,3806401,522.0,216.0,0.0,400.0,2.0
6,7,663,689,1352,1,1,7,0,0,3876961,143.0,663.0,0.0,299.0,4.0
7,5,600,600,1200,1,1,4,0,0,4018020,0.0,600.0,1.0,480.0,4.0
5,6,936,0,936,0,1,5,0,0,3859150,0.0,936.0,0.0,240.0,2.0
6,7,1040,0,1040,0,1,6,0,0,3814209,0.0,1040.0,0.0,293.0,3.0
6,5,916,720,1636,1,1,7,1,0,3984016,0.0,916.0,0.0,386.0,6.0
8,7,1164,1106,2270,1,1,9,1,0,4011993,348.0,1152.0,0.0,671.0,8.0
8,5,1184,1426,2610,1,1,11,1,0,4028049,0.0,1184.0,0.0,550.0,8.0
7,7,1483,0,1483,1,1,4,2,0,3955977,0.0,1420.0,1.0,690.0,1.0
5,5,960,780,1740,0,1,6,1,0,3744000,0.0,936.0,0.0,225.0,2.0
5,5,1382,0,1382,0,1,6,0,0,3822025,0.0,1382.0,0.0,350.0,3.0
5,5,1120,0,1120,0,1,6,0,0,4028049,0.0,1120.0,0.0,0.0,3.0
7,8,567,531,1098,0,1,5,1,0,3850350,0.0,531.0,1.0,216.0,2.0
7,5,976,732,1708,0,1,7,0,0,4016016,117.0,976.0,0.0,380.0,6.0
9,5,1802,0,1802,1,1,7,1,0,4024036,510.0,1802.0,0.0,843.0,6.0
7,5,1506,0,1506,0,1,6,1,0,4020025,145.0,1362.0,0.0,440.0,4.0
7,5,1508,0,1508,0,1,5,2,0,4038090,96.0,1508.0,1.0,572.0,1.0
7,5,2032,0,2032,0,1,7,0,0,3986012,668.0,1840.0,1.0,786.0,9.0
6,6,1194,0,1194,0,1,6,1,0,3837681,0.0,655.0,0.0,539.0,3.0
7,5,970,739,1709,0,1,7,0,0,4016016,50.0,970.0,0.0,380.0,6.0
7,5,1616,0,1616,0,1,7,0,0,4020025,228.0,1616.0,0.0,834.0,6.0
6,6,768,0,768,0,1,4,0,0,3763500,0.0,768.0,0.0,440.0,1.0
5,5,872,0,872,0,1,5,1,0,3751800,65.0,872.0,0.0,322.0,2.0
4,6,520,0,520,0,1,4,0,0,3757650,0.0,520.0,0.0,240.0,1.0
5,5,1105,1169,2274,0,2,12,0,0,3841600,361.0,1105.0,0.0,480.0,10.0
5,7,936,665,1601,0,1,6,0,0,3855775,0.0,936.0,0.0,0.0,6.0
5,7,616,616,1232,0,1,6,0,0,3724500,0.0,616.0,0.0,480.0,3.0
9,5,2234,0,2234,0,1,9,1,0,4034072,748.0,2216.0,1.0,1166.0,2.0
5,8,876,540,1416,1,1,7,1,0,3734250,0.0,876.0,0.0,720.0,4.0
4,7,864,0,864,0,1,5,0,0,3953826,0.0,864.0,0.0,576.0,3.0
